,20-21,21-22,22-23,23-24,24-25
ATL,0,1,1,1,1
BOS,1,0,1,1,1
BRK,0,1,1,1,0
CHI,0,1,1,1,0
CHO,1,1,1,1,0
CLE,1,1,1,1,0
DAL,1,0,1,1,1
DEN,1,1,1,1,0
DET,1,1,1,0,0
GSW,1,1,1,1,1
HOU,0,1,1,0,1
IND,0,0,1,1,1
LAC,0,1,1,1,1
LAL,1,1,0,1,0
MEM,1,1,1,1,0
MIA,1,1,1,1,1
MIL,1,1,1,0,1
MIN,0,1,1,1,1
NOP,0,0,1,1,1
NYK,0,1,1,1,1
OKC,0,1,1,1,1
ORL,1,0,1,1,1
PHI,0,1,1,1,1
PHO,1,1,1,0,0
POR,1,0,1,1,1
SAC,1,0,0,1,0
SAS,1,1,1,1,1
TOR,1,1,1,0,1
UTA,1,1,0,1,1
WAS,1,0,1,1,0
